alim_code;alim_nom_fr;carbo;alim_image_url
26076;Thon germon ou thon blanc, cru;traces;
26079;Anchois commun, cru;traces;
26080;Dorade royale, ou daurade ou vraie daurade, crue, sauvage;traces;
26082;Espadon, cru;traces;
26083;Éperlan, cru;traces;
26084;Cardine franche, crue;traces;
26085;Rouget-barbet de roche, cru;traces;
26088;Dorade royale ou daurade ou vraie daurade, crue, élevage;traces;
26091;Mulet, cru;traces;
26092;Truite de mer, crue;traces;
26095;Merlan, cru;traces;
26098;Morue, salée, sèche;traces;
26099;Dorade grise, ou daurade grise, ou griset, crue;traces;
26100;Bogue, crue;traces;
26101;Bonite, crue;traces;
26102;Maquereau espagnol ou maquereau blanc ou billard, cru;traces;
26103;Denté, cru;traces;
26104;Saint-Pierre, cru;traces;
26106;Grondin, cru;traces;
26107;Corb, cru;traces;
26108;Capelan, cru;traces;
26109;Dorade rose, ou daurade rose, crue;traces;
26110;Rouget-barbet de roche, vapeur;traces;
26111;Saupe, crue;traces;
26113;Chinchard, cru;traces;
26122;Églefin, cru;traces;
26127;Congre, cru;traces;
26128;Grenadier (de roche), cru;traces;
26129;Lieu jaune ou colin, cru;traces;
26130;Julienne ou Lingue, crue;traces;
26133;Tacaud, cru;traces;
26134;Lieu noir, cru;traces;
26135;Limande-sole, crue;traces;
26141;Foie de morue, cru;traces;
26146;Vivaneau, cru;traces;
26153;Sabre, cru;traces;
26154;Flétan du Groënland ou flétan noir ou flétan commun, cru;traces;
26157;Carangue, cru;traces;
26159;Coulirou, cru;traces;
26161;Saumon, cru, sauvage;traces;
26162;Requin, cru;traces;
26166;Orphie commune, crue;traces;
26168;Lompe, crue;traces;
26170;Brème, cru;traces;
26171;Omble chevalier, cru;traces;
26172;Loup tacheté, cru;traces;
26173;Sprat, cru;traces;
26174;Turbot, cru;traces;
26175;Corégone lavaret, cru;traces;
26178;Mérou, cru;traces;
26194;Lingue bleue ou Lingue, crue;traces;
26200;Sole tropicale ou Sole langue, crue;traces;
